id;learn_descr;other_descr;cat_1;code_id_1;code_1;code_id_2;code_2;weitere Kategorien / nochmal prüfen;category_1;remark;
2801;;Kommunikation mit der Schulsozialarbeiterin, aufgrund der schwierigen Klasse, in der sie gerade zu Besuch war.;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2814;;GLK;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2817;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2820;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2822;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2832;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2840;klassenmanagement;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
2843;kommunikationsstrategien, erfahrung diesbezüglich sammeln;;;;;;;;;;
2845;absprachen;;;2a5;Communication and Collaboration skills;;;x;Communication and Collaboration skills;;
2850;neue methodische ideen;;;1A2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2856;abiprobeklausuren nach offiziellen anforderungen korrigiert;;;4b;No Learning Outcome mentioned;;;x;No Learning Outcome mentioned;;
2859;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2863;upp umbesetzung;;;4B;No Learning Outcome mentioned;;;x;No Learning Outcome mentioned;;
2894;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2899;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2903;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2905;infos zu unterricht im allgemeinen ;;;1A8;Other Job-specific Knowledge and Skills;;;;Other Job-specific Knowledge and Skills;;
2907;;Elternmail Widerspruch Mahnung ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2908;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2909;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2913;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2916;;zunehmende Ermüdung durch die starke Konzentration auf den Bildschirm bemerkt;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2933;fachliche und soziale kompetenzen;;;1A1;Content Knowledge and Skills;;;x;Content Knowledge and Skills;;
2935;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2936;fachliche und soziale kompetenzen;Besprechung mit RP-Vertretern;;1A1;Content Knowledge and Skills;;;x;Content Knowledge and Skills;;
2937;fachliche und soziale kompetenzen;zeitgleiche Zusatzfunktion ist falsch eingetragen.;;1A1;Content Knowledge and Skills;;;x;Content Knowledge and Skills;;
2943;infos zu schule und unterricht allgemein ;;;1A8;Other Job-specific Knowledge and Skills;;;x;Other Job-specific Knowledge and Skills;;
2964;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2974;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2976;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2989;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2994;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2995;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2996;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2999;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3000;klassenmanagement bei schwieriger klasse;;;1b5;Importance of Classroom Management;;;;Importance of Classroom Management;;
3009;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3010;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3011;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3022;;Neue Sorte an Corona-Tests. Mittlerweile die 5. Marke mit ihren Eigenheiten.;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3024;;Gespräch zwischen Tür und Angel;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3029;gut funktionierender unterricht;;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
3039;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3041;inhalte für den unterricht, didaktische grundfragen geklärt;;;1A1;Content Knowledge and Skills;;;x;Content Knowledge and Skills;;
3046;veränderung bei informationen für schüler zu ipad-leihe;"Rückgabe iPad durch Ausbilderin statt Schülerin; Teile fehlen bei Rückgabe";;;;;;;;;
3051;mangelnde mitarbeit bei schülern muss protokolliert werden;"Einige Schüler hatten kein Arbeitsmaterial dabei; mangelnde Mitarbeit; Gefühl, von Schülern angelogen zu werden";;;;;;;;;
3052;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3053;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3055;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3059;interaktion mit lernenden;;;;;;;;;;
3061;soziale kompetenzen;;;1a8;Other Job-specific Knowledge and Skills;;;x;Other Job-specific Knowledge and Skills;;
3062;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3065;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3067;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3070;europäisches projekt organisieren ;;;;;;;;;;
3072;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3074;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3076;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3079;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3081;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3083;austausch über die sus und aktuelle lage ;;;;;;;;;;
3084;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3085;neuen stoff strukturiert;;;1A2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
3094;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3095;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3097;;Umgang mir Fehlzeiten;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3098;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3100;;Schriftwechsel mir corona-positiver Schülerin;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3111;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3117;informeller austausch mit kollegen - teilweise zu unterrichtsthemen / klassen / sus;;;1A8;Other Job-specific Knowledge and Skills;1A1;Content Knowledge and Skills;;Other Job-specific Knowledge and Skills;;
3118;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3122;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3125;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3127;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3137;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3138;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3139;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3148;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3150;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3153;unterrichtsmaterial bewerten;;;1a8;Other Job-specific Knowledge and Skills;;;;Other Job-specific Knowledge and Skills;;
3154;inhalte;"
";;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
3159;neue schülerversuche getestet;Durchführung Schülerversuche optimiert;;;;;;;;;
3160;lebenswelt junger menschen;;;;;;;;;;
3161;"l-s-beziehung
lebenswelt jugendlicher";;;;;;;;;;
3163;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3170;gelassenheit;nur 6 Schuler*innen anwesend;;2a1;General Socio-emotional Knowledge and Skills;;;;General Socio-emotional Knowledge and Skills;;
3179;vor der klassenarbeit nochmal alles sagen, was man vorige woche bereits gesagt hat.;Es handelte sich um eine Praktische Klassenarbeit, aber 1/3 der Klasse war krank, dann war es nicht so stressig für mich;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
3182;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3185;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3194;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3197;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3203;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3204;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3206;neuer unterrichtsstoff;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
3208;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3209;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3210;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3212;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3213;auch andere personen involvieren wie zb schulsozialarbeit hinzuziehen;Persönliche Probleme der Lernenden ;;;;;;;;;
3214;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3218;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3243;beratungsgespräch;;;1a5;Job-specific Communication Knowledge and Skills;;;;Job-specific Communication Knowledge and Skills;;
3249;gespräche mit schülern sind immer lehrreich!;Nein ;;1b3;Importance of Engaging with Students & Relationship to Students;;;;Importance of Engaging with Students & Relationship to Students;;
3251;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3253;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3257;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3258;unter assistenz meiner sus, youtube-videos richtig gestartet und eine schülerin zugeschaltet - das hat heute probleme verursacht;;;;;;;;;;
3261;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3272;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3273;man kann ziemlich aneinander vorbei reden;;;;;;;;;;
3274;pc anwendungen;;;1a3;Technological Knowledge and Skills;;;;Technological Knowledge and Skills;;
3275;anwendung asv und splan;Viele verschiedene Programmme mit ihren Eigenheiten und Fehlern;;;;;;;;;
3284;austausch mit kollegen über schüler;"Gut, um die Sichtweisen der Kollegen und Schüler zu verstehen; Hintergrundwissen zu den Schülern";;;;;;;;;
3286;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3289;nutzung neuer digitaler lehrerpulte;;;1A3;Technological Knowledge and Skills;;;;Technological Knowledge and Skills;;
3292;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3293;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3294;erstellung von lernsituationen;;;1A2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
3297;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3299;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3303;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3305;neuerungen im berufsbild tischler;;;1a4;Job-specific Organisational Knowledge and Skills;;;x;Job-specific Organisational Knowledge and Skills;;
3311;sbstraktionsgrad von fragenögen besser anzupassen;Als wenig sinnvoll empfunde;;;;;;;;;
3314;details zu bestellborgängen für softwarelizensen;;;;;;;x;;;
3319;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3324;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3326;in relativ kurzer zeit viele verschiedene aufgaben erledigen.;Stressfaktor: viele Sachen zu erledigen, man wird nie fertig und man kann nichts liegen lassen, weil sonst der Berg an arbeit nie weniger wird (Korrekturen, KA/Unterricht erstellen…) ;;2a3;Administrative and Organisational Skills ;;;x;Administrative and Organisational Skills ;;
3336;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3337;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3338;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3342;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3343;"
";Fehlende Möglichkeiten bei Schulabsentismus;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3344;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3345;umgang mit problemen vor der schulleitung ;Vierteljahresgespräch ÖPR mit Schulleitung ;;;;;;;;;
3346;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3347;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3353;oberstufenberatung;;;1a5;Job-specific Communication Knowledge and Skills;;;;Job-specific Communication Knowledge and Skills;;
3361;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3368;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3370;- aktuelle informationen ;"- Anfahrt
- Coronatestung";;1A8;Other Job-specific Knowledge and Skills;;;;Other Job-specific Knowledge and Skills;;
3371;"- absprachen zum gemeinsammen unterricht
- stimmungslage eruieren";;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
3372;- tücken der onlineberatung;- Schülerberatung online ;;;;;;;;;
3377;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3384;konsequent mit störungen umgehen;;;1b5;Importance of Classroom Management;;;;Importance of Classroom Management;;
3385;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3386;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3387;"abteilungssitzung: deputatsplanung, konfliktbewältigung
";;;1a5;Job-specific Communication Knowledge and Skills;2a6;Conflict Management and Resolution;x;Job-specific Communication Knowledge and Skills;;
3388;korrektur probeabiklausur;;;4b;No Learning Outcome mentioned;;;;No Learning Outcome mentioned;;
3391;korrektur probeabi;;;4b;No Learning Outcome mentioned;;;;No Learning Outcome mentioned;;
3393;informationen zu amoklagen;;;1a4;Job-specific Organisational Knowledge and Skills;;;;Job-specific Organisational Knowledge and Skills;;
3413;seminartätigkeit: wiederholung der rechte und pflichten bei der aufsicht nud bei außerschulischen veranstaltungen;Tätigkeit am Seminar Weingarten;;1a4;Job-specific Organisational Knowledge and Skills;;;;Job-specific Organisational Knowledge and Skills;;
3417;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3426;;Gespräch über speziellen Informatik Unterricht BFW ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3433;;private Abitur Vorbereitung für 2 Geschichtsschüler;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3445;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3447;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3448;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3449;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3453;bwk organisieren;viel zu lesen und zu beachten;;2a3;Administrative and Organisational Skills ;;;;Administrative and Organisational Skills ;;
3465;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3467;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3478;sehr angenehm;;;2B9;Other General Attitudes;;;x;Other General Attitudes;;
3479;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3482;fachliches wissen auf den neuesten stand gebracht;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
3484;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3485;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3487;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3488;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3490;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3499;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3504;neue aufgabenformate für klassenarbeit gefunden;;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
3516;;Ich schaffe es nicht meine Zeiten hier separat zu erfassen und gebe daher jeden Tag als ein oder zwei Blöcke ein. ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3519;keine;;nothing was learned;;;;;;nothing was learned;;
3520;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3523;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3526;es ist wichtig, sus immer wieder nach ihrem befinden zu fragen ;;;1b3;Importance of Engaging with Students & Relationship to Students;;;;Importance of Engaging with Students & Relationship to Students;;
3528;pausen sind ernster zu nehmen ;Grund: Kaum Pause und schon wieder Unterricht... ;;2B4;Importance of Breaks and Resource Conservation;;;;Importance of Breaks and Resource Conservation;;
3533;gruppendynamische phasen sind sehr wichtig ;Workshop mit der Jugendsozialarbeit ;;;;;;;;;
3534;austausch mit jugendsozialarbeit ist wichtiger als gedacht;Zeitdruck, da die Bahn kommt und Familie zu Hause wartet;;;;;;;;;
3537;ka muss in einem bestimmten zeitfenster erstellt sein;KA nicht zig Mal umformulieren;;;;;;;;;
3538;fachwissen;;;1a1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
3543;;Zeitdruck;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3555;genauere festlegung der tops der besprechung;;;;;;;;;;
3556;austausch mit schulträger muss stetig sein, aber ist immer ein spagat mit vorgaben und erwartungen mit rp;;;;;;;;;;
3558;deeskalierendes vorgehen ist besser als aufbrausendes reagieren;;;;;;;;;;
3559;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3560;dokumentation von coronafällen wird immer mühsamer;;;3B;Perception of work characteristics;;;;Perception of work characteristics;;
3561;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3562;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3564;arbeitsorganisation ist wichtig;;;2B6;Importance of (early) Organisation;;;;Importance of (early) Organisation;;
3565;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3567;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3570;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3574;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3576;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3580;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3581;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3586;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3589;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3591;digitale erkenntniss;Stress mit der Technik;;1a3;Technological Knowledge and Skills;;;;Technological Knowledge and Skills;;
3592;;Fehlzeitenkontrolle;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3593;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3594;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3603;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3607;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3610;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3614;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3633;edge ist bei microsoft-produkten besser als firefox ;;;1a3;Technological Knowledge and Skills;;;;Technological Knowledge and Skills;;
3634;;Beratungslehrertätigkeit;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
3657;aktuelletthemen benötigen viel zusätzliche kraft;Stunde zum aktuellen Ukrainekonflikt;;;;;;;;;
