"","learn_descr","learning_outcome","cat_1"
"61","aufgaben delegieren ",NA,NA
"62","es frustrierend wenn man sieht was die lehrer alles aus dem unterricht mitnehmen und dann in den prüfungen wieder geben können",NA,NA
"63","na eine echte pause ist es ja nicht wirklich an einem prüfungstag ",NA,NA
"64","nicht immer sofort reagieren ",NA,NA
"65","viel zu viel ",NA,NA
"66","neuekonzeption projekt ",NA,NA
"67","ertragen und tolerieren",NA,NA
"68","konzeptentwicklung ",NA,NA
"69","vorgehen bei nachteilsausgleich ",NA,NA
"70","neue texte kennengelernt ",NA,NA
"71","ansichten anderer ",NA,NA
"72","deputatsgespräch ",NA,NA
"73","laute inhomogene klasse ",NA,NA
"74","kompetenzen im schweißen formulieren",NA,NA
"75","din für metallbauarbeiten vs. schweißfehler in der ausführung",NA,NA
"76","schweißtechnik; praktisches schweißen steigend (mag)",NA,NA
"77","schweißnahtberechnung",NA,NA
"78","keine. korrekturen. ",NA,NA
"79","prüfungsvorbereitung ",NA,NA
"80","das wenn lehrkräfte am morgen der mündlichen abiturprüfungen ausfallen es sehr chaotisch wird und lösungsfindung schwer ist",NA,NA
"81","noten sind extrem subjektiv ",NA,NA
"82","wenn prüflinge bzw. prüfer kurzfristig ausfallen sorgt das immer für einen hohen stressfaktor ",NA,NA
"83","umgang mit neuer hardware ",NA,NA
"84","das man software nicht immer verstehen kann",NA,NA
"85","feedback-gespräch ",NA,NA
"86","neuen stoff ",NA,NA
"87","zu viel ",NA,NA
"88","arbeitsaufträge verbessern ",NA,NA
"89","austausch mit kollegen ",NA,NA
"90","detail zu fachwissen entdeckt ",NA,NA
"91","wie heute mittag ",NA,NA
"92","gespräche mit kolleginnen ",NA,NA
"93","unterricht in bef1 ",NA,NA
"94","korrekturliste vorbereitet ",NA,NA
"95","prüfungsmaterial vorbereitet ",NA,NA
"96","suche von praktikumsstellen ",NA,NA
"97","zuviels facharbeit zur korrektur ",NA,NA
"98","software richtig einstellen ",NA,NA
"99","umgang mit menschen ",NA,NA
"100","ganzer tag mündl abiturprüfungen ",NA,NA
"101","beheben von technischen probleme ",NA,NA
"102","stoffverteilungsplan erstellt ",NA,NA
"103","wissen aktualisiert ",NA,NA
"104","woher kommen deputatsstunden ",NA,NA
"105","neue tricks und vorgehensweise ",NA,NA
"106","neues themengebiet: gk",NA,NA
"107","erlebnispädagogik ",NA,NA
"108","intensive vorbereitung ",NA,NA
"109","anpassung aufgabenstellung ",NA,NA
"110","coronatests durchgeführt ",NA,NA
"111","projektmanagement ",NA,NA
"112","nachbereitung der prüfungen; je schneller diese gemacht werden je effektiver sind sie",NA,NA
"113","neuen lehrplan unterrichtet ",NA,NA
"114","normaler unterricht ",NA,NA
"115","es gibt immer eine. lösung ",NA,NA
"116","geduld zahlt sich aus ",NA,NA
"117","beharrlichkeit lohnt ",NA,NA
"118","freitag, zu viele offene fragen ",NA,NA
"119","routinearbeit ",NA,NA
"120","elternabend ",NA,NA
"121","organisatorisches ",NA,NA
"122","technische zeichnung erstellt ",NA,NA
"123","viel aufgearbeitet ",NA,NA
"124","abi korrektur 
",NA,NA
"125","abi korrektur",NA,NA
"126","abi korrektur
",NA,NA
"127","urlaub mit verreisen ist die einzige möglichkeit wirklich abzuschalten!!!",NA,NA
"128","struktur zahlt sich aus ",NA,NA
"129","neue lernarrangements ",NA,NA
"130","neues thema vorbereitet ",NA,NA
"131","erarbeiten eines neuen themas ",NA,NA
"132","menschenkenntnis ",NA,NA
"133","thema falsch rüber gebracht ",NA,NA
"134","reflektion zu meinem unterricht ",NA,NA
"135","neuer lehrplan ",NA,NA
"136","länderanalysen ",NA,NA
"137","konferenzen zu führen ist einfach anstrengend",NA,NA
"138","führungsaufgaben als lehrkraft ",NA,NA
"139","aufgaben genau zu definieren ",NA,NA
"140","gemeinsamer austausch ",NA,NA
"141","gute ideen für den unterricht ",NA,NA
"142","firma - praktikum ",NA,NA
"143","rückmeldung- firma ",NA,NA
"144","aktualisierung navision programm ",NA,NA
"145","infos zur schule ",NA,NA
"146","die pause ist einfach zu kurz um ins büro zu gehen, daher lieber im fachraum bleiben damit der nachfolgende unterricht auch pünktlich beginnen kann!",NA,NA
"147","das die neue bgvo und fhsr noch komplizierter geschrieben ist. sie sollen doch lieber zwei einfache sätze bilden, statt diese so kompliziert zum schreiben -> das würde eine menge zeit einsparen!",NA,NA
"148","kollegiale planung durchzuführen ",NA,NA
"149","diskussion um aktuelle themen ",NA,NA
"150","neue impulse ",NA,NA
"151","netzwerk anschließen ",NA,NA
"152","absprechen einer vertretung ",NA,NA
"153","vorbereitung auf elterngespräch ",NA,NA
"154","eins nach dem anderen erledigen ",NA,NA
"155","darstellungen content homepage ",NA,NA
"156","man muss sich kümmern ",NA,NA
"157","neues thema eingearbeitet ",NA,NA
"158","mehr zeit einplanen ",NA,NA
"159","tempo im unterricht erhöhen ",NA,NA
"160","mehr tempo im unterricht ",NA,NA
"161","wie müde sus ticken",NA,NA
"162","viele inhalte ",NA,NA
"163","eigene lfb ist anstrengend ",NA,NA
"164","neues erfahren ",NA,NA
"165","keine - habe korrigiert ",NA,NA
"166","fragestellung überarbeiten ",NA,NA
"167","grenzen setzen ",NA,NA
"168","schüler wollen immer mehr ",NA,NA
"169","arbeitsmaterialien sortiert ",NA,NA
"170","hilfsbereitschaft ",NA,NA
"171","organisation mündliche prüfung ",NA,NA
"172","austausch mit den betrieben ",NA,NA
"173","mit projekten lernt man nie aus ",NA,NA
"174","feedback bekommen ",NA,NA
"175","ich mag telefonieren nicht ",NA,NA
"176","organisation, absprachen usw. ",NA,NA
"177","zeitdruck ist unangenehm ",NA,NA
"178","konstruktiver austausch ",NA,NA
"179"," nicht ohne thema in ein gespräch gehen, bessere vorbereitung",NA,NA
"180","kollegen können schwierig sein. ",NA,NA
"181","gesprächsführung ",NA,NA
"182","moodle mastern ",NA,NA
"183","lehrstoff wiederholt ",NA,NA
"184","prüfungskorrektur ",NA,NA
"185","ablauf wiederholung schüler ",NA,NA
"186","ruhe bewahre ",NA,NA
"187","kopieren und pc vorbereiten ",NA,NA
"188","geschichte straßburgs ",NA,NA
"189","kommunikation mit kammer planen ",NA,NA
"190","schüler können auch nett sein ",NA,NA
"191","absprache neuauflage ",NA,NA
"192","arbeitsblatt aktualisiert ",NA,NA
"193","vorsitz in kolloquien ",NA,NA
"194","notenbesprechungen ",NA,NA
"195","abstimmung im team mit kollegen ",NA,NA
"196","gfs besprechungen sind nur zwischen den stunden möglich, pause entsprechend ausgefallen",NA,NA
"197","die paragrafen in unseren verordnungen sind einfach…..",NA,NA
"198","pause außer haus tut einfach gut",NA,NA
"199","betriebsbesichtigung ",NA,NA
"200","überraschend gutes gespräch ",NA,NA
"201","etwas nachgelesen ",NA,NA
"202"," nur orga",NA,NA
"203","es gibt immer noch ""wanderpokale"", die man nicht braucht,  nicht wirklich weiß   wie sie einzusetzen sind und trotzdem nehmen muss. ",NA,NA
"204","fachzeitschriften gelesen ",NA,NA
"205","ordnung halten braucht auch zeit ",NA,NA
"206","orga ist wichtig ",NA,NA
"207","know how erweiterung ",NA,NA
"208","struktur vorgegeben ",NA,NA
"209","schreiben an kammer abklären ",NA,NA
"210","schüler im anderen kontext ",NA,NA
"211","lernfeld-unterricht ",NA,NA
"212","neue klasse aufgenommen ",NA,NA
"213","lehrinhalte aufgefrischt ",NA,NA
"214","bei den elternabenden sind immer die eltern der sus da wo es keine probleme gibt",NA,NA
"215","9er sind anstrengend ",NA,NA
"216","weniger lehrerzentrierte phasen ",NA,NA
"217","hybridunterricht vorbereiten ",NA,NA
"218","didaktik ",NA,NA
"219","besser delegieren ",NA,NA
"220","neues thema geordnet ",NA,NA
"221","abiturienten neu motivieren zum endspurt ",NA,NA
"222","keine, ab heute mache ich ferien ",NA,NA
"223","fachinhalte ",NA,NA
"224","einweisung digitales element ",NA,NA
"225","umgang mit neuen klassen ",NA,NA
"226","größer einblick in die prüfungen ",NA,NA
"227","umgang mit digitaler tafel ",NA,NA
"228","umgang mit frechen sus ",NA,NA
"229","zeitdruck ",NA,NA
"230","- aktuelle informationen ",NA,NA
"231","- absprachen zum gemeinsammen unterricht
- stimmungslage eruieren",NA,NA
"232","- tücken der onlineberatung",NA,NA
"233","neue medien kennengelernt ",NA,NA
"234","pausen sind ernster zu nehmen ",NA,NA
"235","input für unterrichtsgestaltung ",NA,NA
"236","klassenführung ",NA,NA
"237","bewertung unterricht ",NA,NA
"238","allgemeine vorbereitung ",NA,NA
"239","neue aspekte des bildungsplans ",NA,NA
"240","umgang mit itslearning ",NA,NA
"241","bewerbungsgespräche ",NA,NA
"242","kopiert ",NA,NA
"243","keine, organisation ",NA,NA
"244","digitale tools ",NA,NA
"245","teamführung ",NA,NA
"246","schüler besser kennengelernt ",NA,NA
"247","aktuelle infos für lehrkräfte ",NA,NA
"248","echte pausen sind wichtig ",NA,NA
"249","werturteile schülerinnen/schüler ",NA,NA
"250","informationen über neuerungen ",NA,NA
"251","austausch mit anderen ",NA,NA
"252","bewertung von schreibprodukten ",NA,NA
"253","pausen fallen leider immer aus. ",NA,NA
"254"," fachliche ",NA,NA
"255","inhaltlich ",NA,NA
"256","besser organisieren ",NA,NA
"257","einarbeitung neue pflichtlektüre ",NA,NA
"258","runder tisch ausbildung ",NA,NA
"259","ausdruck und kopie ",NA,NA
"260","nachbereitung unterricht ",NA,NA
"261","keine. unterricht halt. ",NA,NA
"262","mündliche prüfungen ",NA,NA
"263","praxisberichte erstellt ",NA,NA
"264","pausen sind wichtig ",NA,NA
"265","- aufgaben des kollegen ad hoc übernommen",NA,NA
"266","routinetätigkeit ",NA,NA
"267","infos über den tag abgerufen ",NA,NA
"268","ipad klassensatz kennen gelernt ",NA,NA
"269","technik kennengelernt ",NA,NA
"270","synthesizer im internet ",NA,NA
"271","elternzeit",NA,NA
"272","have-modell der agilen führung ",NA,NA
"273","anspannung vor dem ersten schultag",NA,NA
"274","umgang mit prüfungsvorbereitung ",NA,NA
"275","digitales klassenbuch ",NA,NA
"276","frau schopper bei videokonferenz kennengelernt ",NA,NA
"277","ordnung ist wichtig ",NA,NA
"278","gute absprache und planungen ",NA,NA
"279","ideen für bessere organisation ",NA,NA
"280","fachliche ",NA,NA
"281","routinierte videokonferenz ",NA,NA
"282","austausch erfahrungen ",NA,NA
"283","umgang mit videoschnitt ",NA,NA
"284","organisatorische neuerungen ",NA,NA
"285","noch mehr informatik inhalte ",NA,NA
"286","inhalte zu informatik ",NA,NA
"287","anstrengende rückfahrt ",NA,NA
"288","wissen erweitert  im workshop ",NA,NA
"289","wissen erweitert in workshop ",NA,NA
"290","späte stunden bei grosser hitze ",NA,NA
"291","neues wissen ",NA,NA
"292","gute routine bringt erfolg ",NA,NA
"293","es gibt schon doofe kollegen. ",NA,NA
"294","erfahrung trägt! ",NA,NA
"295","dass schüler gut mitdenken ",NA,NA
"296","neues abi prüfungsformat ",NA,NA
"297","koordination von mehreren unterrichtselementen",NA,NA
"298","umgang mit lern videos ",NA,NA
"299","organisation unterricht ",NA,NA
"300","neue pflichtlektüre ",NA,NA
"301","neue unterritsinhalte erarbeitet ",NA,NA
"302","inhaltlich",NA,NA
"303","neuen bildungsplan umsetzen ",NA,NA
"304","unruhige genervte sus ",NA,NA
"305","andere methode ",NA,NA
"306","neue klasse besser kennengelernt ",NA,NA
"307","keine - klassenarbeit ",NA,NA
"308","viel feinarbeit, finale runde ",NA,NA
"309","pause und gebäudewechsel ",NA,NA
"310","schüler schwer zu motivieren ",NA,NA
"311","fachliches ",NA,NA
"312","standardtätigkeit ",NA,NA
"313","organisation ist zeitaufwendig ",NA,NA
"314","kommunikation öpr ",NA,NA
"315","bis zur routine einarbeiten ",NA,NA
"316","umgang mit shaper origin ",NA,NA
"317","siehe gestern ",NA,NA
"318","neues programm bedient ",NA,NA
"319","planung elternabend und vorbesprechung klausurtagung ",NA,NA
"320","absprache catering für schulleitungsklausur mit kollege, der köche unterrichtet",NA,NA
"321","ziele für sus klarer formulieren ",NA,NA
"322","gelassenheit ",NA,NA
"323","fehlzeitenmanagement ",NA,NA
"324","notfall plan ruhe bewahren",NA,NA
"325","agieren mit behörden ",NA,NA
"326","einarbeitung in navision cloud. ",NA,NA
"327","infos zu diversen themen ",NA,NA
"328","fachdidsktische probleme erkennen und analysieren ",NA,NA
"329","feedback zum eigenen unterricht, versuche anschaulich präsentieren",NA,NA
"330","reisekosten abrechnen ",NA,NA
"331","verknüpfung der landespolitik ",NA,NA
"332","aufwändige prüfungskorrekturen ",NA,NA
"333","gute teamarbeit ",NA,NA
"334","korrekturberg wächst wieder ",NA,NA
"335","bin noch im korrektur modus drin",NA,NA
"336","toto-liste für ein projekt erstellt.",NA,NA
"337","neues unbekanntes prüfungsformat ",NA,NA
"338","kopieren, pc einrichten ",NA,NA
"339","information klassenlehrer ",NA,NA
"340","klassenarbeit erstellen ",NA,NA
"341","bedienung neues programm ",NA,NA
"342","viele kollegen verbringen die pause wieder im gemeinsamen lehrerzimmer und sind dort erreichbar ",NA,NA
"343","nicht so viel recherchieren ",NA,NA
"344","gute diskussionen ",NA,NA
"345","pädagogik, schulorganisation ",NA,NA
"346","probleme von sus im betrieb ",NA,NA
"347","empathie, rat einholen ",NA,NA
"348","erkenntnisse zur neuordnung ",NA,NA
"349","konferenz ",NA,NA
"350","unterricht nachbereitet ",NA,NA
"351","gespräch abteilungsleiter ",NA,NA
"352","musterlösung erarbeitet ",NA,NA
"353","habe den bewertungsmaßstab verstanden",NA,NA
"354","durch rückfrage bei einer anderen schule haben sich die probleme geklärt",NA,NA
"355","wenn eine konferenz gut vorbereitet ist, dann kommt man gut durch",NA,NA
"356","klassenklima, zeitmanagement ",NA,NA
"357","feedback zum unterricht ",NA,NA
"358","neue wege der vermittlung ",NA,NA
"359","neue fachinhalte vorbereitet ",NA,NA
"360","austausch ",NA,NA
"361","navision ist kompliziert ",NA,NA
"362","ka englisch korrigiert ",NA,NA
"363","ka deutsch korrigiert ",NA,NA
"364","einarbeitung neues dv programm ",NA,NA
"365","genaue und stetige planung ",NA,NA
"366","routine bei der korrektur ",NA,NA
"367","organisieren von fortbildungen ",NA,NA
"368","statistik, überwachung ziel im azav-bereich",NA,NA
"369","personalrat ",NA,NA
"370","immer wieder wiederholen ",NA,NA
"371","die arbeit des kollegen wird den ablauf deutlich erleichtern",NA,NA
"372","neue methoden ",NA,NA
"373","rechtliche grundlagen ",NA,NA
"374","hybridunterricht ",NA,NA
"375","aufgaben für schüler erstellt ",NA,NA
"376","vorbereitung klassenfahrt ",NA,NA
"377","prüfungsdurchführung ",NA,NA
"378","schulentwicklungsprozesse ",NA,NA
"379","besseren erwartungshorizont machen",NA,NA
"380","verschiedene gerichte bewerten ",NA,NA
"381","kolleginnen einschätzen ",NA,NA
"382","mittagspause, austausch ",NA,NA
"383","kleine klasse einfach angenehm ",NA,NA
"384","eher  menschenkenntnis erweitert bei schulleitungsgesprach ",NA,NA
"385","aufwändig, zeitdruck ",NA,NA
"386","neue ideen für unterricht ",NA,NA
"387","einzelne schüler verstehen ",NA,NA
"388","viel formalismus ",NA,NA
"389","interaktiver austausch",NA,NA
"390","neue unterrichtsimpulse ",NA,NA
"391","netzwerkarbeit ist wichtig ",NA,NA
"392","das mir für dieses problem die psychologische ausbildung fehlt",NA,NA
"393","neue perspektiven ",NA,NA
"394","neue fähigkeiten ",NA,NA
"395","einarbeitung in neues thema ",NA,NA
"396","pause mal wieder viel zu kurz",NA,NA
"397","eine gute vorbereitung ist das a und o",NA,NA
"398","organisation klassenfahrt ",NA,NA
"399","dkms aktion ",NA,NA
"400","standardaufgaben ",NA,NA
"401","tolle tätigkeit ",NA,NA
"402","klassenbuch anschließen ",NA,NA
"403","umgang mit onedrive und icloud ",NA,NA
"404","umgang mit icloud ",NA,NA
"405","wichtige info austausch ",NA,NA
"406","info austausch ",NA,NA
"407","entrümpeln lohnt sich. ",NA,NA
"408","in ruhe zu arbeiten ",NA,NA
"409","korrektur ",NA,NA
"410","routineaufgabe ka korrigieren ",NA,NA
"411","neues material erstellt ",NA,NA
"412","reserveaufsichten kann man wohl in der aktuellen zeit nicht genug haben;",NA,NA
"413","gut wenn man eine ersthelferausbildung gemacht hat; allerdings kommt so ein einsatz nie zu richtigen zeit
",NA,NA
"414","sowas brauch man an einem prüfungstag nicht wirklich noch",NA,NA
"415","wenn ich das alleine und in ruhe mache, tauchen deutlich weniger fehler auf
gut ist aber auch das einige vorgänge in sachenprüfungsvorbereitung von mir outgesourct wurden -> dies funktioniert auch bestens!",NA,NA
"416","neue infos erhalten ",NA,NA
"417","ruhe bewahren ",NA,NA
"418","unfreundliche sus ",NA,NA
"419","neue möglichkeiten entdeckt ",NA,NA
"420","sonntagmorgen ist wenig verkehr ",NA,NA
"421","neue ideen ",NA,NA
"422","organisation kommendes schuljahr ",NA,NA
"423","erasmus+-antrag bearbeitet ",NA,NA
"424","vorbereitung ist wichtig ",NA,NA
"425","kommunikation mit kollegen ",NA,NA
"426","bezug zu neuen tätigkeiten ",NA,NA
"427","umgang mit eltern ",NA,NA
"428","fachlich ",NA,NA
"429","alle aufgaben im blick zu haben ",NA,NA
"430","- korrekturen von ka",NA,NA
"431","hektik vor dem unterricht. ",NA,NA
"432","zeugnisbearbeitung",NA,NA
"433","neue funktionen der stundenplan software",NA,NA
"434","einrichtung ipad ",NA,NA
"435","besuch veranstaltung ",NA,NA
"436","zuhören und verständnis zeigen ",NA,NA
"437","ruhig bleiben ",NA,NA
"438","die coronatests am vorabend abzuholen ist stressfreier",NA,NA
"439","viel.aufwand ",NA,NA
"440","kolleginnen in anderen arbeitsumgebungen haben oft die gleichen probleme",NA,NA
"441","den montagsunterricht schon am freitag vorzubereiten (kopien anfertigen, ablauf durchgehen,…) bereitet weniger stress.",NA,NA
"442","das diskutieren der systemgrenzen für die schülerinnen wichtig ist.",NA,NA
"443","prezzi ist garnicht so schwer",NA,NA
"444","überblick über lernstoff ",NA,NA
"445","betreuung auszubildende ",NA,NA
"446","neue informationen ",NA,NA
"447","erweitern des erfahrungsschatzes ",NA,NA
"448","gestaltung unterricht ",NA,NA
"449","organisation nachschreiber ",NA,NA
"450","unterricht gestalten ",NA,NA
"451","nachbetreuung kammer ",NA,NA
"452","materialien sortiert ",NA,NA
"453","ka korrigiert ",NA,NA
"454","dass das wort „übliche anwesenheit“ (vgl. rahmendienstvereinbarung §10 (6)) sehr unterschiedlich auslegbar ist",NA,NA
"455","aufgaben mit berechnungen sollte ich mit meiner klasse mehr üben",NA,NA
"456","öfter den unterrichtenden ausbildungsberuf zu wechseln ist nicht gut für die work life balance.",NA,NA
"457","bekommt der schüler eine freistellung für den banktermin, frägt er dann auch für die prüfungsvorbereitung in der fahrschule eine befreiung an.",NA,NA
"458","material vorbereitet ",NA,NA
"459","die schilf hat mich nicht wirklich weiter gebracht",NA,NA
"460","essen mit schulleitungskollegin ",NA,NA
"461","papier ist geduldig. ",NA,NA
"462","sekretariat ist schwerstarbeit ",NA,NA
"463","beziehungsarbeit ist wichtig ",NA,NA
"464","korrektur fachabi ",NA,NA
"465","lernwörter als word-datei ansprechend zu gestalten.  ",NA,NA
"466","fachliche änderungen / inhalte ",NA,NA
"467","jede am schuljahresende ",NA,NA
"468"," elternprotest beim rp gegen streichung /kürzung der unterrichtsversorgung sehr wirksam",NA,NA
"469","aufräumen hilft ",NA,NA
"470","kinobetreiber sind idealisten ",NA,NA
"471","keine besonderen ",NA,NA
"472","sus verstärkt auf lesbares schriftbild aufmerksam machen, rechtschreibfehler anstreichen",NA,NA
"473","ausdrucken und kopieren ",NA,NA
"474","austausch über organisationen ",NA,NA
"475","geogebra genutzt. ",NA,NA
"476","zu viele jobs ",NA,NA
"477","künftig konsequenter mit verstößen gegen die klassenregeln (pünktlichkeit) umgehen",NA,NA
"478","neues wissen über paris ",NA,NA
"479","umgang mit fremden menschen ",NA,NA
"480","das thema korrekturtage ist immer ein unangenehmes thema mit kollegen:innen; vor allem das diese nur im abitur gewährt werden und nicht bei den fhsr- oder kbs-prüfungen!",NA,NA
"481","es ist schwierig prüfungen in mehreren räumen zu schreiben und bei allen gleichzeitig für einen korrekten ablauf zu sorgen",NA,NA
"482","abiturprüfung ",NA,NA
"483","wenig zeit ",NA,NA
"484","neue aufgaben im sekretariat ",NA,NA
"485","fachlicher austausch inhaltlich ",NA,NA
"486","wissen zum unterrichtsthema ",NA,NA
"487","umsetzung lernfeld-unterricht ",NA,NA
"488","projektplanung ",NA,NA
"489","organisation eines smv projektes ",NA,NA
"490","aktuelles in der branche ",NA,NA
"491","diskussion über notengebung ",NA,NA
"492","apple tv erfolgreich eingesetzt ",NA,NA
"493","freundlichkeit bringt erfolg ",NA,NA
"494","glk ",NA,NA
"495","neues curriculum ",NA,NA
"496","kleinschrittig vorgehen ",NA,NA
"497","frühzeitige planung hilft ",NA,NA
"498","asv und untis ",NA,NA
"499","tests vorbereiten ",NA,NA
"500","tests durchgeführt ",NA,NA
"501","klassengespräch und feedback ",NA,NA
"502","unterlagen organisieren ",NA,NA
"503","austausch ist wichtig ",NA,NA
"504","asv untis ",NA,NA
"505","neue software einstellungen ",NA,NA
"506","meine früheren versuche mit prezi eine präsentation zu machen haben nicht geklappt. prezi ist wohl benutzerfreundlicher geworden.",NA,NA
"507","weniger ist manchmal mehr",NA,NA
"508","alles nicht so streng nehmen ",NA,NA
"509","mich durchzusetzen ",NA,NA
"510","neue orga der prüfungsunterlage ",NA,NA
"511","grammatik besser vorbereiten ",NA,NA
"512","konzentrierter zu arbeiten ",NA,NA
"513","rückblick und ausblick ",NA,NA
"514","av",NA,NA
"515","termine immer mehrfach mitteilen ",NA,NA
"516","impulse ",NA,NA
"517","absprache für sprachkurse ",NA,NA
"518","vorbereitung ausbildernachmittag ",NA,NA
"519","austausch über aktuelle themen ",NA,NA
"520","aktuelle corona lage ",NA,NA
"521","sitzungen verlaufen anders als geplant  ",NA,NA
"522","musterlösung für ka erstellen ",NA,NA
"523","dibe bfc - viele wertvolle infos ",NA,NA
"524","rückfahrt ",NA,NA
"525","routine ",NA,NA
"526","die aufgaben werden immer mehr. ",NA,NA
"527","führungstiele der schulleitungen im hause sind sehr unterschiedlich.",NA,NA
"528","schreibtischarbeit im lehrerstützpunkt ist nicht so effizient, wie im leeren klassenzimmer. ",NA,NA
"529","abitursvorbereitung ",NA,NA
"530","sitzungen zur didaktischen jahresplanung sollten genau definierte ziele haben.",NA,NA
"531","korrigieren von prüfungen ",NA,NA
"532","arbeiten trotz herumschreiender kinder  ",NA,NA
"533","sinnvoll reduzieren ",NA,NA
"534","ordnung muss sein ",NA,NA
"535","habe ein tolles team ",NA,NA
