pc_learn;learning_outcome;cat_1;cat_2
7;Abi-Korrektur;Nichts;
1;Abikorrektur bietet ab und zu neue Einblicke;Situationsdiagnostik;
4;Abiprobeklausuren korrigiert;Nichts;
5;Abiprobeklausuren nach offiziellen Anforderungen korrigiert;Nichts;
1;Abiturkorrektur vereinfachen, indem Schüler nächstes Mal organisatorisch besser beraten werden können;Situationsdiagnostik;
5;Abiturkorrektur, Formalitäten;Nichts;
0;Abiturkorrekturen nerven.;Jobunzufriedenheit/Frustration ;
1;Abiturprüfung;Nichts;
7;Abitursvorbereitung;Nichts;
0;Abiturvorbereitung kann entspannend sein. Keine Fragen, nichts.;Nichts;
0;Ablage das ein - und alles;Gewissenhaftes, sorgfältiges Arbeiten;
2;Ablagesystem ÜFA muss noch genauer kontrolliert werden;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
7;Ablauf „hinter den Kulissen“ bzgl Organisation Abitur und Kommunikation mit dem RP;Wissenserweiterung;
2;Ablauf praktische Prüfungen bei den Fachpraktikern;Wissenserweiterung;
7;Ablauf Prüfung, Umgang mit Fragen von Prüflingen;Wissenserweiterung;
7;Ablauf Wiederholung Schüler;Nichts;
5;Ablaufoptimierung im Gesundheitswesen;Nichts;
0;Abmahnungen schreiben sollte das Sekretariat machen;Nichts;
0;Abnahme Prüfungen Kommunikationsprüfung;Nichts;
5;Abrechnung Mensa;Nichts;
2;Abrufbereitschaft bei Problemen mit der Prüfung;Nichts;
5;Abschätzung des Aufwands Gestaltung Homepage;Situationsdiagnostik;
4;Abschluss Klassenbuch;Nichts;
2;Abschlusserfassung der Beratungslehrertätigkeiten fürs Schuljahr 2021/2022;Nichts;
5;Abschlussfeier geplant, Bücher rausgesucht;Nichts;
3;Abschlussorganisation Klasse;Nichts;
1;Abschlussorganisation und Notenfeststellung für die Klasse;Nichts;
7;Abschlussveranstaltung für meine Klasse (Feier der bestandenen Prüfungen, Reflexion der Schulzeit, Abgabe der Bücher;Nichts;
3;Absprache;Nichts;
1;Absprache für Prüfungen mit Regierungspräsidium und anderen Schulleitungen;Nichts;
2;Absprache für Sprachkurse;Nichts;
5;Absprache mit Abteilungsleiter-Kollegen sehr hilfreich;Positive Einstellung zur Teamarbeit;
2;Absprache mit Kolleg*innen;Nichts;
1;"Absprache mit Kolleginnen zur Umsetzung der zuvor besuchten Fortbildung „wir lernen 4.0“; Konsolidierung und Aufschrieb/Nachbereitung der Fortbildung";Nichts;
4;Absprache Neuauflage;Nichts;
1;Absprache wegen Abschlussfahrten;Nichts;
3;Absprache wegen Organisation von Fortbildung;Nichts;
2;Absprache wegen Projektarbeit;Nichts;
2;Absprachen;Nichts;
1;Absprachen bzw. Gespräche mit Kollegen zu Studienfahrten, Ausflügen, Prüfungen und Schülerproblemen;Nichts;
2;Absprachen einhalten;Gewissenhaftes, sorgfältiges Arbeiten;
0;Einfach ab und zu schweigen.;Emotionsregulation;
1;Absprachen für Deutschkurse für Geflüchtete;Nichts;
0;Absprachen mit der Abteilungsleitung;Nichts;
1;Absprachen mit Kollegen wegen praktischen Prüfungen;Nichts;
1;Locker bleiben hilft;Bewusstsein der Bedeutung von Gelassenheit;
3;Abstimmung mit Kollegen spart Zeit;Positive Einstellung zur Teamarbeit;
6;Austausch mit Personen in derselben Position;Nichts;
3;Absprachen sollten aus Beweisgründen schriftlich fixiert werden;Gewissenhaftes, sorgfältiges Arbeiten;
1;Absprachen über diesjähriges Abitur;Nichts;
0;Absprachen wegen Deputationsplanungen für nächstes Schuljahr, Aufsichtspläne…;Nichts;
2;Absprachen zur Gestaltung der Kooperation zur Gestaltun zusätzlicher Lernsngebote;Nichts;
0;Absprechen einer Vertretung;Nichts;
6;Abstimmung im Team mit Kollegen;Nichts;
5;Abstimmung mit Kollegen hilft den eigenen Unterricht zu planen und strukturieren.;Positive Einstellung zur Teamarbeit;
2;Kollegiales Feedback;Nichts;
5;Abstimmung wegen Prüfung;Nichts;
3;Abteilungsleiter als Vertretung einzuplanen macht Freude;Nichts;
3;"Abteilungssitzung: Deputatsplanung, Konfliktbewältigung
";Nichts;
0;Abwesenheitskontrolle bzw. Entschuldigungen ins elektronische Tagebuch eintragen zeitnah erledigen, sonst wird es stressig nachzutragen;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
5;Abwicklung Erasmus;Nichts;
0;Acht Stunden Unterricht für die Schüler ist kein Zuckerschlecken;Nichts;
6;"Achtsamkeit und Empathie üben
Was bedeutet niveaudifferenziertes Arbeiten bzw. Unterrichten";Wissenserweiterung;Bewusstsein der Bedeutung von Konzentration
0;Beim nächsten Mal Hilfe holen durch Schwerbehindertenbeauftragte;Fähigkeit zur Selbstreflexion;
2;Adhoc Unterrichtsänderung;Nichts;
1;Administrative Aufgaben werden immer mehr.;Situationsdiagnostik;
0;administrative Hürden bei Organisation eines Schüleraustausch;Nichts;
2;Administrative Tätigkeiten nehmen zu;Situationsdiagnostik;
3;Agieren mit Behörden;Nichts;
4;Aktivitäten von amerikanischen Milizen während der Black Lives Matter Ptotesten.;Nichts;
3;Aktualisieren des Stoffes;Nichts;
1;Aktualisierte Themen unterrichtet;Nichts;
2;Aktualisierung der Inhalte;Nichts;
1;Aktualisierung der Kenntnisse;Wissenserweiterung;
1;"Aktualisierung der Kenntnisse
";Wissenserweiterung;
1;Aktualisierung des Wissens;Wissenserweiterung;
0;Aktualisierung Navision Programm;Nichts;
5;Aktualisierung von ausgearbeiteten Materialien;Nichts;
0;Aktuell sind Ferien;Nichts;
0;Aktuelle Besprechung mit dem Vormund;Nichts;
1;Aktuelle Corona Lage;Nichts;
1;aktuelle Corona-Regeln;Wissenserweiterung;
1;aktuelle Infos für Lehrkräfte;Wissenserweiterung;
7;Aktueller Austausch aus zwei Regionen;Nichts;
1;aktueller Stand des KM-Projektes;Wissenserweiterung;
3;Aktuelles aus der Branche / Fachzeitschrift;Wissenserweiterung;
7;Aktuelles in der Branche;Wissenserweiterung;
3;Dass nicht alle von meinen Ideen genauso begeistert sind wie ich;Fähigkeit zur Selbstreflexion;
5;alle analogen Unterlagen digitalisieren;Nichts;
2;Alle Aufgaben im Blick zu haben;Gewissenhaftes, sorgfältiges Arbeiten;
3;Die eigenen Ansprüche an den Unterricht können nicht an andere Personen so weiter gegeben werden;Situationsdiagnostik;
0;Eigentlich hätte ich noch einiges mehr vorbereiten sollen, können, müssen, aber die Luft ist raus, ich wollte einfach mal einen freien Nachmittag;Fähigkeit zur Selbstreflexion;
1;alles gleichzeitig (Unterricht, Verwaltungsarbeit, Absprache mit Kollegen);Nichts;
0;Alles gleichzritig, corona tests, Unterticht, Doku;Nichts;
1;Alles nicht so streng nehmen;Gelassenheit;
3;Allgemeine Informationen zu Unterricht;Wissenserweiterung;
1;Allgemeine Informationen zum Schuljahresabschluss und Begin;Wissenserweiterung;
4;Allgemeine Vorbereitung;Nichts;
6;Alljährliche Deputatsplanung in der Fachschaft, wiederkehrend anstrengend;Nichts;
4;Als „Fortbilder“ habe ich meine Unterlagen einem Team aus drei anderen LuL vorgestellt, die diesen Unterricht ebenfalls halten werden. Durch die Rückmeldung der Probleme der LuL mit den Unterlagen konnten diese optimiert werden.;Fähigkeit zur Selbstreflexion;
7;eigenes üben ist wichtig;Fähigkeit zur Selbstreflexion;
2;Als Prüfungsaufsicht nur mit Gegenfragen helfen und kein Lösungsansätze vorgeben;Situationsdiagnostik;
3;Ältere Unterlagen überprüft, dabei Wissen aufgefrischt;Wissenserweiterung;
2;Alternative Art der Programmierung ausprobiert;Wissenserweiterung;
3;Alternative Lernansätze;Wissenserweiterung;
3;Alternative Möglichkeiten zum Nachteilsausgleich;Nichts;
3;Empathie, Rat einholen;Fähigkeit zur Selbstreflexion;
3;Es geht hier um Persönlichkeitsentwicklung. Mir ist aufgefallen, dass ich mich extrem stressen lasse, wenn ich vor Kollegen für etwas verantwortlich bin. Es macht mich regelrecht krank und ich muss dringend lernen, damit umzugehen.;Fähigkeit zur Selbstreflexion;
6;Analyse eines Unterrichts;Sonstiges;
3;andere Methode;Lernen neuer Arbeitsmethoden;
1;andere pädagogische Ideen und Einschätzungen;Wissenserweiterung;
1;Ich bin wenig resilient, wenn beim Arbeiten die Kinder immer wieder unterbrechen.;Fähigkeit zur Selbstreflexion;
3;andere Schüler sind auch nicht besser, es liegt also nicht an mir!;Fähigkeit zur Selbstreflexion;
0;Ich kann morgens am besten arbeiten, v.a. wenn die Aufgaben nicht an diesem Tag fällig sind.;Fähigkeit zur Selbstreflexion;
5;ich kann nicht allen helfen;Fähigkeit zur Selbstreflexion;
0;Ich lerne immer dazu.;Fähigkeit zur Selbstreflexion;
4;Andere unterrichtsmethoden;Lernen neuer Arbeitsmethoden;
2;Änderung der Stundentafel in der KBS, Eingabe in ASV;Nichts;
1;Anfahrt;Nichts;
2;Anforderungen Abitur 2024;Wissenserweiterung;
1;Anforderungen an Prüfer in mdl. Ergänzungsprüfung;Wissenserweiterung;
1;Anfragen bearbeitet und Termine ausgemacht, E-Mails beantwortet;Nichts;
0;Anfragen von Externen (hier: Schulleiter anderer Schule) sollten sofortig „bedient“ werden, da dies für die Außenwirkung und für das gegenseitige Vertrauen wichtig ist;Situationsdiagnostik;
3;Angebote ZSL, Kulturschule;Nichts;
0;angenehmer Austausch mit Kollegen;Positive Einstellung zur Teamarbeit;
0;Ich mag telefonieren nicht;Fähigkeit zur Selbstreflexion;
0;Ankündigung der Drittkorrekturen Ethikabitur und Erläuterungen zur BGVO. Durchführungserlass.;Nichts;
3;Anleiten der SuS beim Kochen;Nichts;
2;Anleitung von Schülerinnen bei praktischen Arbeiten;Nichts;
2;Anpassung Aufgabenstellung;Nichts;
2;Anregungen für die zukünftige Stoffvermittlung - Stolpersteine;Wissenserweiterung;
6;Anregungen für Gestaltungselemente gesammelt;Wissenserweiterung;
0;Anregungen zur Unterrichtsgestaltung erhalten;Wissenserweiterung;
3;anschliessen vorbeiretung fuer gpk aufio videosystem;Nichts;
1;Ansichten anderer;Nichts;
1;"Ansprachen im Team; schtweisen der AL Kollegen";Nichts;
1;Anspruchshaltung einiger Schüler, Gleichgültigkeit anderer Schüler;Nichts;
1;anstrengende Rückfahrt;Nichts;
1;anstrengendes Beratungsgespräch;Nichts;
0;Anträge auf Verkürzung bearbeitet, Schüleremails beantwortet....;Nichts;
2;Anträge vor dem Kollegium stellen;Nichts;
4;Anwendbarkeit neuer Methoden;Lernen neuer Arbeitsmethoden;
2;Anwendung ASV und Splan;Nichts;
4;Anwendung von Enteicklertools, um ein analoges Formular für den Praktikumsbericht der SuS in ein digitales umzuwandeln. Und das dauert immer viel länger als man denkt.;Situationsdiagnostik;
6;Anwendung/Betrieb Industrie 4.0 Anlage;Nichts;
6;Anwendungen an CNC-Fräse;Nichts;
1;Anwendungsänderung nach Neugestaltung User- Interface;Nichts;
0;Anwendungsoptimierung im digitalen Klassenbuch;Nichts;
5;Apple TV erfolgreich eingesetzt;Sonstiges;
4;Zuhören und Verständnis zeigen;Festigung von Kernkompetenzen;
4;Kommunikation mit Kollegen;Nichts;
4;Arbeit mit Flüchtlingen war mir bisher unbekannt;Nichts;
3;Arbeit mit Materialien aus der Sesam-Bibliothek zu neuem Thema im Bildungsplan;Nichts;
0;Arbeit mit Texten zur Prüfungserstellung, deren Anspruch über den normaler Unterrichtsstunden hinausgeht;Nichts;
2;Ich muss eine Sitzung für Kollegen vorbereiten, was mich sehr nervös macht. Ich muss an meinen Ängsten arbeiten, dass ich eventuell negativ bewertet werde.;Fähigkeit zur Selbstreflexion;
0;Arbeiten mit WebUntis-App;Nichts;
1;Arbeiten trotz herumschreiender Kinder;Nichts;
1;Arbeitsauftrag NOCHMAL verschriftlichen;Gewissenhaftes, sorgfältiges Arbeiten;
2;Arbeitsaufträge verbessern;Situationsdiagnostik;
1;Arbeitsauftragsergebnisse verglichen und die Selbsterarbeitungsphase ausgewertet;Nichts;
2;Arbeitsaufwand für eine Klasse erklärt und reingegeben;Nichts;
2;Arbeitsblatt aktualisiert;Nichts;
0;Arbeitsblätter angefertigt;Nichts;
1;Arbeitsblätter erstellt, in Bezug auf die Klassenarbeit und deren häufig auftretenden Fehler.;Nichts;
2;Ich muss meine Unterlagen besser sortieren.;Fähigkeit zur Selbstreflexion;
1;Zeitnaher Austausch mit Kollegen ist wichtig;Positive Einstellung zur Teamarbeit;
2;Arbeitsmaterialien sortiert;Nichts;
0;Arbeitsmaterialien sortiert, Unterrichtsstand kontrollieren;Nichts;
1;Arbeitsmaterialien und Aufgaben für kommenden Tag herrichten;Nichts;
6;Arbeitsorganisation ist wichtig;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Arbeitsorganisation so gestalten, dass sie effektiv ist;Gewissenhaftes, sorgfältiges Arbeiten;
2;Arbeitsplatz aufgeräumt, Kontrolle von Emails, Austausch mit Kolleg:innen;Nichts;
0;"Arbeitssicherheit
";Nichts;
3;Ich sollte mehr nein sagen;Fähigkeit zur Selbstreflexion;
0;Arbeitszimmer,ecke  zum Arbeiten wäre sehr notwendig;Nichts;
7;Arduino programmieren;Wissenserweiterung;
0;"Ärger um die Studienfahrt, auch nicht zu sehr vom Chef ""ärgern"" lassen";Nichts;
4;Arten von Brustkrebszellen;Nichts;
6;Artikel über Schulleitungsfunktion, Informationen Umgang Pandemie;Wissenserweiterung;
1;Aspekte der Organisation einer Studienfahrt;Wissenserweiterung;
1;ASV Übertrag vom Halbjahreszeugnis fehlt;Nichts;
5;ASV und Untis;Nichts;
5;ASV Untis;Nichts;
2;Atttributionen;Nichts;
0;Ich werde keine Referendare mehr betreuen;Fähigkeit zur Selbstreflexion;
0;Auch auf dem Hof ist es heiß.;Nichts;
2;Auch bei Prüfungen schrecken SuS nicht vor Spickzettel zurück;Situationsdiagnostik;
2;Auch in der beruflichen Schule gibt es Helikoptermütter bei fast volljährigen Schülern;Situationsdiagnostik;
1;Auch in der Schulleitung hat man nicht immer alle Informationen (einziger PC-Raum für ganze Klassen hat viele Plätze, die nicht funktionieren);Nichts;
1;Auch Junglehrer haben Probleme richtig zuzuhören;Situationsdiagnostik;
3;Auch kleine Freuden muss man wahrnehmen!;Sonstiges;
0;auch mit Corona kann man von zu Hause arbeiten;Nichts;
5;Auch wenn es in Projektphasen nicht immer so scheint, kann Gutes dabei herauskommen.;Situationsdiagnostik;
0;Kollegen fragen;Fähigkeit zur Selbstreflexion;
4;Gemeinsam abgestimmte Inhalte mit SuS helfen;Positive Einstellung zur Teamarbeit;
5;Auf dem aktuellen Stand der internationalen Ereignisse sein;Wissenserweiterung;
2;auf technische Ausstattung in der Schule kann man sich nicht verlassen;Situationsdiagnostik;
2;Aufbau des Netzwerks im Berufsschulgebäude;Wissenserweiterung;
7;Aufbau Netzarchitektur nach BelWue;Wissenserweiterung;
5;Aufbau Skills Lab;Wissenserweiterung;
1;Aufbereitung von Material, Erstellung einer Nachschreibearbeit;Nichts;
0;Auffällige Schüler verhindern durch ihr Verhalten Unterstützung anderer Mitschüler,Verweigerung der Mitarbeit,pädag.Maßnahmen helfen nicht;Situationsdiagnostik;
1;Auffrischen des Wissens;Wissenserweiterung;
3;man lernt nich aus - blöde Frage;Fähigkeit zur Selbstreflexion;
5;Auffrischung fachlicher Themen;Wissenserweiterung;
5;"-Auffrischung prüfungsrelevanter Themen
-Erschrecken wie schwer sich die SuS 3 Monate vor den Prüfungen noch mit Grundlagen tun.";Wissenserweiterung;
6;Auffrischung Schulrecht;Wissenserweiterung;
6;Auffrischung Schulrecht Bawü;Wissenserweiterung;
1;"Man lernt nie aus!
";Fähigkeit zur Selbstreflexion;
0;Aufgaben delegieren;Nichts;
2;Aufgaben differenzierter ausformulieren;Situationsdiagnostik;
1;Aufgaben eindeutig formulieren;Situationsdiagnostik;
4;Aufgaben Fachberater Schulentwicklung kennen gelernt.;Wissenserweiterung;
1;Mir fällt es schwer, mich für etwas zu entscheiden. So suche ich ewig nach Texten und komme nicht voran…;Fähigkeit zur Selbstreflexion;
3;Aufgaben für Prüfling zusammengestellt;Nichts;
3;Aufgaben für Schüler erstellt;Nichts;
3;Aufgaben genau zu definieren;Gewissenhaftes, sorgfältiges Arbeiten;
3;Aufgaben genauer erklären, damit Schüler genau wissen was zu tun ist;Situationsdiagnostik;
3;Aufgaben in Klassenarbeiten noch deutlicher formulieren und besprechen;Situationsdiagnostik;
1;Aufgaben und Anweisungen genauer definieren.;Situationsdiagnostik;
1;Aufgabendelegation an dieser Schule;Nichts;
3;Aufgabenstellung immer an das Klassenniveau anpassen.;Situationsdiagnostik;
1;mir selbst zu helfen, wenn es der Schulträger nicht macht;Fähigkeit zur Selbstreflexion;
2;Aufgabenstellung und Ausdruck für Prüfungstexte bzw. Prüfungsaufgaben;Nichts;
2;Aufgabentyp sortieren für Klassenarbeiten nicht sehr geeignet;Nichts;
2;Aufgrund eines neuen Lehrplans musste ich mich mit neuen Lehrplaninhalten auseinandersetzen.;Wissenserweiterung;
0;Aufklärung;Nichts;
0;Aufklärung einer Schlägerei;Nichts;
1;Aufnahmegespräch uk. Flüchtlinge in E gelingt;Nichts;
4;Aufnahmevoraussetzungen für die 2BFS aus Klasse 8 Realschule;Nichts;
1;Aufräumen befreit;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Aufräumen des Arbeitsplatzes, sortieren von Unterlagen, vernichten von Unterlagen, Vorbereitung für nächste Prüfung;Gewissenhaftes, sorgfältiges Arbeiten;
1;Aufräumen hilft;Gewissenhaftes, sorgfältiges Arbeiten;
1;Aufräumen und Optimierungs-Management;Gewissenhaftes, sorgfältiges Arbeiten;
0;Aufsicht bedeutet keine Pause.;Nichts;
2;Aufsicht für die Kommunikationsprüfung in Englisch war mir neu, jetzt kenne ich den Ablauf.;Wissenserweiterung;
0;Aufsicht Klassenarbeit;Nichts;
0;wie wichtig Reflexion ist;Bewusstsein der Bedeutung von Selbstreflexion;
0;Aufsichten sind spürbares Verstreichen von Lebenszeit;Nichts;
0;Auftrag in Klassenarbeit besser/anders  stellen;Situationsdiagnostik;
2;aufträge notieren, unterrivhtsinhalt reduzieren;Situationsdiagnostik;
4;Auftretende Prüfungsprobleme klären;Nichts;
1;aufwändig, Zeitdruck;Nichts;
0;aufwändige Prüfungskorrekturen;Nichts;
4;aufwändige Tätigkeiten rund um Fortbildung;Nichts;
0;Aus der Materialsammlung Unterrichtsmodelle rausgesucht.;Nichts;
0;Ausarbeitung mit Schülern verglichen;Nichts;
2;Ausbau / Erweiterung der Kompetenz der Einschätzung von Abstufungen der Schwierigkeitsgrade bei der Erstellung von Aufgaben zu Kommunikation Prüfung Englisch;Festigung von Kernkompetenzen;
2;Ausbildertag mit Abteilungsleitung besprochen;Nichts;
1;Ausbildungslehrkraft Gespräch zur Klärung;Nichts;
2;Ausbildungsordnung;Wissenserweiterung;
5;Ausbildungsverträge sind Verträge, die Auflösung gestaltet sich schwierig;Wissenserweiterung;
3;Ausdruck der Aufgaben, einsammeln, abhaken;Nichts;
2;Ausdruck und Kopie;Nichts;
2;Ausdrucken und kopieren;Nichts;
1;Ausfall der Medienkonsole, daher immer im Schrank „alte Technik“ als Backup haben, hier eigene aktiv Lautsprecher und Adapterkabel.;Situationsdiagnostik;
1;Ausfall von Schülerpräsentationen einplanen.;Situationsdiagnostik;
1;zu viel auf einmal zu wollen, macht Stress;Situationsdiagnostik;
2;Ausgestaltung Mitarbeitergespraeche;Nichts;
0;Ausmisten, Ablage, offene Mails und noch nicht erledigte Aufgaben bearbeitet;Nichts;
2;Aussagen werde auf die Goldwaage gelegt;Nichts;
1;Routine;Festigung der eigenen Routine;
0;Ausserhalb der Unterrichtszeit mit Schülern in Kontakt stehen, macht keinen Spass, weil es zeitintensiv sein kann und die Freizeit durch Beruf gestört wird.;Nichts;
1;außerschulisches Engagement kann gewinnbringend in den Schulalltag integriert werden;Situationsdiagnostik;
7;austauach Klasse;Nichts;
0;Austauch;Nichts;
1;Austausch;Nichts;
1;Austausch allgemein;Nichts;
7;Austausch als ÖPR über Stundenplangestaltung;Nichts;
0;Austausch an Information;Nichts;
4;Austausch auf der Didacta mit verschiedenen Ausstellern zu unterschiedlichen Themen;Nichts;
6;Austausch auf Schulleiterebene mit KM;Nichts;
5;Austausch digitaler Unterricht;Nichts;
2;Austausch Erfahrungen;Nichts;
4;Austausch Fachschaft;Nichts;
0;Familie und Beruf unter einen Hut zu bringen ist schwer;Situationsdiagnostik;
7;Austausch innerhalb der Fachschaft Spanisch zum Thema gleichwertige Feststellung einer Schülerleistung. Besprechung eines Themenkanon, sowie Bewertungskriterien.;Nichts;
4;Im BVE geht alles langsamer voran. Ich habe zu viel vorbereitet und zum Teil zu schwierig.;Situationsdiagnostik;
7;Austausch mit anderen;Nichts;
6;Austausch mit anderen Schulleitern;Nichts;
2;Austausch mit anderen Schulleitungen bezüglich Neu-Aufnahme von Schülern.;Nichts;
1;Austausch mit Assistenten zur Prüfungsvorbereitung;Nichts;
5;Austausch mit den Betrieben;Nichts;
6;Austausch mit erfahrener Kollegin über verschiedene Situationen mit SuS und Rückmeldung über meine Wirkung.;Nichts;
2;Austausch mit Fachkolleginnen anderer Schulen;Nichts;
0;Übergriffige Kollegin hat mir die Pause verdorben. Ich werde ihr aus dem Weg gehen;Jobunzufriedenheit/Frustration ;
0;Austausch mit Kolleg*innen;Nichts;
0;Austausch mit Kollege;Nichts;
1;Austausch mit Kollege klappt;Positive Einstellung zur Teamarbeit;
3;Austausch mit Kollegen;Nichts;
4;Austausch mit Kollegen aus anderen Schulen, von Bildungsträgern und v.a. Firmen war sehr interessant und informativ!;Positive Einstellung zur Teamarbeit;
5;Austausch mit Kollegen einer Klinikschule;Nichts;
6;Gemeinsam mit Kollegin Projektarbeitsthemen besprochen;Nichts;
5;"Austausch mit Kollegen in Bezug auf Umgang mit Praktikanten in meiner Rolle als Mentor;
Einweisung in die Bedienung Des Computers einer Kollegin; erhöhte Aufwand beim Drucken einer Leistungsfeststellung da Netzinfrastruktur in der Schule gestört";Nichts;
3;Absprachen sind sehr wichtig;Positive Einstellung zur Teamarbeit;
2;Austausch mit Kollegen über Schüler;Nichts;
4;Austausch mit Kollegen über Stofverteilung;Nichts;
2;Austausch mit Kollegen/-innen pusht die eigene Morivation;Positive Einstellung zur Teamarbeit;
4;Austausch mit Kollegin;Nichts;
1;Austausch mit Kolleginnen;Nichts;
7;Austausch mit Kolleginnen Teilnehmern der Fortbildung zum neuen Abitur Format mündliche Prüfung.;Nichts;
1;Austausch mit Kolleginnen und Planung fürs neue Schuljahr;Nichts;
1;Arbeit im Team erhöht Effizienz und Reduziert Fehlerquote;Positive Einstellung zur Teamarbeit;Effektivität auf Teamebene
3;Austausch mit Praktikumsbetrieben;Nichts;
1;Austausch mit Schülern;Nichts;
6;Austausch mit Schülern bringt mich immer weiter;Positive Einstellung zur Teamarbeit;
0;Austausch mit Schülern erforderlich;Nichts;
1;Austausch mit Schülern, persönliche Erfahrungen zu einem Thema;Nichts;
2;Austausch mit Schulleitungsteams der benachbarten Berufsschulen bringt zusätzliche Kenntnisse;Positive Einstellung zur Teamarbeit;
6;Austausch mit Schulträger muss stetig sein, aber ist immer ein Spagat mit Vorgaben und Erwartungen mit RP;Positive Einstellung zur Teamarbeit;
2;Austausch mit Tandempartnerin für Verbesserung des nächsten Seminars, das im Oktober stattfinden wird;Positive Einstellung zur Teamarbeit;
6;Austausch nach Corona voller Erfolg;Positive Einstellung zur Teamarbeit;
2;Austausch SL, Informationen über aktuelle Änderungen;Nichts;
0;austausch tut gut,jmd.weitergeholfen;Positive Einstellung zur Teamarbeit;
0;Austausch ü er Schülerin;Nichts;
5;Austausch über aktuelle Themen;Nichts;
2;Austausch über andere Technikerschulen;Nichts;
3;Austausch über Bewertung von Klausuren;Nichts;
5;Austausch über die SuS und aktuelle Lage;Nichts;
2;Austausch über einen Versuch im Unterricht;Nichts;
2;Austausch über einzelne Schüler*innen in den Pausen sind unumlässlich;Situationsdiagnostik;
7;"Austausch über Klasse mit Kollegin; Beratung über schwierige Situation";Nichts;
0;Austausch über Lehrmaterialien;Nichts;
3;Austausch über niveaudifferenziertes Lernen;Nichts;
4;Austausch über Organisationen;Nichts;
1;Austausch über problematischen Schüler;Nichts;
6;Austausch über Prüfungsmodalitäten und informeller Austausch über Schület;Nichts;
4;Austausch über Standards Kommunikationsprüfung;Nichts;
4;Austausch über Stundenplanung mit Nachbarschule;Nichts;
0;Austausch über Umgang mit SchülerInnen;Nichts;
6;Austausch über unterrichtsinhalte;Nichts;
4;Austausch über Verhalten im Mitarbeitergespraech;Nichts;
3;Austausch unter Fachkollegen;Nichts;
3;Austausch von Methodik;Lernen neuer Arbeitsmethoden;
2;"Absprachen sind wichtig
";Positive Einstellung zur Teamarbeit;
6;"Austausch zu Abiturablauf und Modalitäten; inhaltliche Planung des Probeabiturs";Nichts;
2;Austausch zu aktuellen Unterrichtsthemen;Nichts;
7;Austausch zu Umgang mit außergewöhnlichen Situationen (Schülerverhalten);Nichts;
3;Austausch zu unserer Klasse, und bestimmten Situationen mit SuS;Nichts;
5;Austausch zur Gestaltung der Sprachkurse für ukrainische Jugendliche und junge Erwachsene;Nichts;
0;Austausch zur Prüfungserfahrung;Nichts;
2;Austausch mit Kollegen hat bei eigenen problemen weitergeholfen;Positive Einstellung zur Teamarbeit;
