"id","code","sex","age","jobscope","gvUser","act_no","activity","other","stress","coping","pc_learn","learn_descr","other_descr","begin_date","begin_time","end_date","end_time","Begin","End","Duration","Handover","n_entry","sickness","cat_1","cat_2","cat_2_en","cat_1_en","n_id"
12328,"D4XWEAU6W2",0,58,100,"",7,"Interaktion mit Externen","",1,3,1,"neue information zur hauseitschaftrrinnen ausbildung","","01.04.2022","09:30","01.04.2022","10:30","01.04.2022 14:37","01.04.2022 14:38",112,"02.04.2022 18:00",1,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
12330,"D4XWEAU6W2",0,58,100,"",16,"Mitarbeit in Gremien und dauerhaften Teams","",3,5,3,"guter austausch","Videokonferenzen sind sehr anstrengend","01.04.2022","14:00","01.04.2022","17:15","01.04.2022 14:40","01.04.2022 15:11",1866,"02.04.2022 18:00",3,NA,"positive einstellung zur teamarbeit","kompetenz","competence","positive attitude towards teamwork",1
12019,"CRRY6A16PY",0,55,100,"",6,"Interaktion mit Kollegen:innen","",5,4,5,"nav 2018: kontierungen bei der gehaltsabrechnung","ÜFA Team mit Kollege erleichert die Arbeit, neue Programmversion macht große Probleme","01.04.2022","13:15","01.04.2022","15:00","01.04.2022 14:59","01.04.2022 15:03",238,"01.04.2022 15:03",5,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
12027,"216W8XUEM3",0,39,73.5,"",6,"Interaktion mit Kollegen:innen","",2,7,2,"wichtige infos zu einzelnen schülern","Der Austausch über Schüler kann oft leider nicht aufgeschoben.","01.04.2022","09:30","01.04.2022","09:45","01.04.2022 15:10","01.04.2022 15:12",94,"01.04.2022 15:12",2,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
12061,"G1PLRHPR8K",0,57,60,"Teilnahme-Gruppe-3",6,"Interaktion mit Kollegen:innen","",2,7,2,"fachlicher austausch über gesetzesänderungen","","01.04.2022","13:40","01.04.2022","13:50","01.04.2022 15:41","01.04.2022 15:42",93,"01.04.2022 15:42",13,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
12072,"T5NTBWWYXA",1,52,100,"Teilnahme-Gruppe-3",7,"Interaktion mit Externen","",0,0,2,"reden mit betreuungskräften ist manchmal hilfreich","verhaltensauffälliger Schüler ( krankhaft) mit Betreuungskräften gesprochen. ","01.04.2022","14:00","01.04.2022","14:30","01.04.2022 16:13","01.04.2022 16:16",183,"01.04.2022 16:12",7,NA,"positive einstellung zur teamarbeit","kompetenz","competence","positive attitude towards teamwork",1
12094,"NNYQXQTFDD",0,54,100,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",2,1,1,"niveau hat sich verändert","","01.04.2022","07:50","01.04.2022","15:00","01.04.2022 18:00","01.04.2022 18:01",72,"01.04.2022 18:01",2,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12097,"YS1Z6KC4FK",0,33,96.15,"",12,"Fortbildung: formal","",0,0,1,"viele neue ideen für den unterricht.","","01.04.2022","08:00","01.04.2022","17:00","01.04.2022 18:18","01.04.2022 18:19",75,"01.04.2022 18:19",1,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
12111,"GE7QV1V1UV",0,37,96,"Teilnahme-Gruppe-3",19,"Prüfungsbezogene Tätigkeiten","",0,0,7,"schüler sind sehr langsam (weniger schreiben lassen), sehr einfache erklärungen machen","","01.04.2022","14:00","01.04.2022","18:15","01.04.2022 18:45","01.04.2022 18:47",102,"01.04.2022 18:47",5,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12145,"8SGNLCX7TR",1,48,100,"",1,"Unterricht: Eigenen Unterricht halten","",4,3,4,"die placemat methode hat den schülerinnen und schülern viel spaß gemacht.","Freitags in den beiden letzten Unterrichtsstunden der Woche ist der Unterricht in der 2BFS meist etwas unruhig, was das Unterrichten körperlich/stimmlich anstrengend macht.","01.04.2022","11:20","01.04.2022","12:45","01.04.2022 21:02","01.04.2022 21:08",356,"01.04.2022 21:11",5,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12185,"7AHDF4277G",0,41,100,"Teilnahme-Gruppe-3",1,"Unterricht: Eigenen Unterricht halten","",3,3,3,"ruhig bleiben, wenn die hälfte der klasse fehlt","SuS  sehen nicht ein weiter im Unterrichtsverlauf fortzufahren wenn die Hälfte der Klasse fehlt ","01.04.2022","09:20","01.04.2022","10:50","01.04.2022 22:09","01.04.2022 22:12",165,"01.04.2022 22:12",5,NA,"gelassenheit","kompetenz","competence","composure",1
12194,"7AHDF4277G",0,41,100,"Teilnahme-Gruppe-3",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",3,5,2,"ruhigere umgebung schaffen","","01.04.2022","14:00","01.04.2022","16:00","01.04.2022 22:22","01.04.2022 22:25",169,"01.04.2022 22:25",10,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12196,"7AHDF4277G",0,41,100,"Teilnahme-Gruppe-3",10,"Pause","",1,6,1,"ruhigere umgebung schaffen","","01.04.2022","13:30","01.04.2022","14:00","01.04.2022 22:25","01.04.2022 22:27",69,"01.04.2022 22:27",11,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
20542,"FS799TLF7C",0,34,88,"",5,"Interaktion mit Lernenden außerhalb der Unterrichtszeit","",2,2,2,"interaktion mit jungen auszubildenden ist sowohl bereicherung, als auch kräftezehrend","","29.04.2022","07:30","29.04.2022","08:15","01.05.2022 06:35","01.05.2022 06:39",213,"01.05.2022 06:56",1,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
20537,"NXGU64NDAQ",0,38,80,"Teilnahme-Gruppe-2",1,"Unterricht: Eigenen Unterricht halten","",7,0,3,"konsequenter im verbot von handys im unterricht werden","Klasse war sehr unruhig, viel Handynutzung der Schüler trotz Verbot und Ermahnung, auf Ansprache folgten freche Antworten der Schüler - hohes Stresslevel durch Gefühl der Machtlosigkeit","29.04.2022","09:55","29.04.2022","11:30","01.05.2022 06:47","01.05.2022 06:49",142,"01.05.2022 06:49",3,NA,"fähigkeit zur selbstreflexion","kompetenz","competence","ability to self-reflect",1
20549,"FS799TLF7C",0,34,88,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",3,2,1,"man lernt nie aus!","","29.04.2022","16:00","29.04.2022","22:00","01.05.2022 06:52","01.05.2022 06:54",120,"01.05.2022 06:56",8,NA,"fähigkeit zur selbstreflexion","kompetenz","competence","ability to self-reflect",1
20550,"FS799TLF7C",0,34,88,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",2,0,2,"eigene disziplin ist wichtig, um auch privatleben noch raum geben zu können!","","30.04.2022","07:30","30.04.2022","16:15","01.05.2022 06:54","01.05.2022 06:56",94,"01.05.2022 06:56",9,NA,"gewissenhaftes, sorgfältiges arbeiten","kompetenz","competence","conscientious, careful work",1
20560,"8SH1AGU7HR",0,41,76,"Teilnahme-Gruppe-2",1,"Unterricht: Eigenen Unterricht halten","",0,0,1,"gut vorbereitete gruppenarbeit funktioniert wunderbar","","29.04.2022","11:10","29.04.2022","11:55","01.05.2022 10:16","01.05.2022 10:17",96,"01.05.2022 10:17",3,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
21529,"2YT2A449L5",1,59,100,"",28,"Interaktion mit Externen","",0,0,2,"datenauswertung über programm, einarbeitung in it-programme und gute anwendungskenntnusse können sehr entlasten.","","28.04.2022","08:00","28.04.2022","08:15","01.05.2022 14:39","01.05.2022 14:46",448,"03.05.2022 18:46",2,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
21533,"2YT2A449L5",1,59,100,"",17,"IT-Administration","",0,0,1,"arbeitserleichterung durch digitale unterstützung, teamarbeit","","28.04.2022","09:15","28.04.2022","09:30","01.05.2022 14:58","01.05.2022 15:04",341,"03.05.2022 18:46",6,NA,"gegenseitige unterstützung","performanz","performance","mutual support",1
21534,"2YT2A449L5",1,59,100,"",28,"Interaktion mit Externen","",1,7,1,"gute vorbereitung verhindert stress","Gespräch mit Schulreferentin erzeugt immer etwas Stress, deshalb ust gute Vorbereitung wichtig.","28.04.2022","10:30","28.04.2022","13:00","01.05.2022 15:04","01.05.2022 15:07",194,"03.05.2022 18:46",7,NA,"bewusstsein der bedeutung von gewissenhaftem, sorgfältigen arbeiten","kompetenz","competence","awareness of the importance of conscientious, careful work",1
20743,"VV7LD859HP",0,60,72,"Teilnahme-Gruppe-2",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",0,0,1,"aktualisierung des wissens","","01.05.2022","14:00","01.05.2022","18:05","01.05.2022 20:16","01.05.2022 20:17",79,"01.05.2022 20:17",1,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
20744,"VV7LD859HP",0,60,72,"Teilnahme-Gruppe-2",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",0,0,1,"aktualisierung des wissens","","01.05.2022","18:30","01.05.2022","20:17","01.05.2022 20:17","01.05.2022 20:18",51,"01.05.2022 20:18",2,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
30403,"WYL358N27Z",0,56,100,"Teilnahme-Gruppe-2",10,"Pause","",4,5,1,"dass die sus, seit sie wissen,  dass sie in die 2bfs gehen dürfen,  stark nachlassen","nicht mein Problem ","31.05.2022","11:10","31.05.2022","11:20","01.06.2022 06:01","01.06.2022 06:05",194,"01.06.2022 06:05",5,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30404,"WYL358N27Z",0,56,100,"Teilnahme-Gruppe-2",1,"Unterricht: Eigenen Unterricht halten","",4,6,1,"dass die sus immer mehr geduld fordern","","31.05.2022","11:20","31.05.2022","12:45","01.06.2022 06:05","01.06.2022 06:07",120,"01.06.2022 06:07",6,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30405,"WYL358N27Z",0,56,100,"Teilnahme-Gruppe-2",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",2,5,1,"zu viel auf einmal zu wollen, macht stress","","31.05.2022","12:45","31.05.2022","13:00","01.06.2022 06:07","01.06.2022 06:09",139,"01.06.2022 06:09",7,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30409,"WYL358N27Z",0,56,100,"Teilnahme-Gruppe-2",1,"Unterricht: Eigenen Unterricht halten","",5,3,5,"dass die sus selbst über ihr leben entscheiden und ich zusehen muss, dass sie alles tun um nicht an der prüfung teilnehmen zu dürfen.","es ist sehr den sus klar zu machen,  dass sie die Verantwortung für ihr Leben tragen. wenn etwas nicht läuft wie sie wollen,  sind die Lehrer Schuld und schlecht und unfreundlich ","31.05.2022","13:30","31.05.2022","14:15","01.06.2022 06:11","01.06.2022 06:17",360,"01.06.2022 06:17",9,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30531,"K5QAWULQ5N",0,30,100,"Teilnahme-Gruppe-2",19,"Prüfungsbezogene Tätigkeiten","",6,4,3,"entspannt bleiben","Hauptverantwortung für ÜFA Prüfung im Berufskolleg, technische Probleme beim starten der Prüfung am PC inkl. Bereitschaft für mehrere Prüfungsräune","01.06.2022","07:28","01.06.2022","11:30","01.06.2022 07:40","01.06.2022 11:30",13807,"01.06.2022 13:05",11,NA,"gelassenheit","kompetenz","competence","composure",1
30570,"A6GDAWQT2E",0,45,59.26,"Teilnahme-Gruppe-2",1,"Unterricht: Eigenen Unterricht halten","",2,2,2,"den sus weniger auswahl bieten","","01.06.2022","09:50","01.06.2022","13:05","01.06.2022 08:46","01.06.2022 14:12",19589,"01.06.2022 14:12",1,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30461,"A5NA278UX7",1,48,88,"Teilnahme-Gruppe-2",25,"Gremien- und Teamleitung intern","",2,5,1,"umgang mit hohen fehlzeiten","","01.06.2022","11:16","01.06.2022","12:00","01.06.2022 08:51","01.06.2022 08:52",72,"01.06.2022 08:52",12,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30568,"TKVPS8PUTD",0,32,100,"",1,"Unterricht: Eigenen Unterricht halten","",3,0,3,"neue lernsituationen in ukrainischer klasse kennengelernt","","30.05.2022","08:00","30.05.2022","13:00","01.06.2022 13:20","01.06.2022 14:09",2943,"01.06.2022 14:10",1,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
30549,"7LA7RUU18F",0,49,92,"Teilnahme-Gruppe-2",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",2,1,2,"fachliches","","30.05.2022","15:15","30.05.2022","18:00","01.06.2022 13:33","01.06.2022 13:36",178,"01.06.2022 13:36",2,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
30622,"EHRUX61231",1,41,100,"Teilnahme-Gruppe-2",17,"IT-Administration","",2,3,4,"nextcloud problme mit dateien analysieren","aproboem war etwas nervig weil ich eigebtlich gern heim wollte","01.06.2022","13:15","01.06.2022","15:20","01.06.2022 16:20","01.06.2022 16:21",70,"01.06.2022 16:21",8,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
30636,"B3XLCDVVFM",1,35,100,"Teilnahme-Gruppe-2",1,"Unterricht: Eigenen Unterricht halten","",3,5,1,"umgang mit übersetzer","","01.06.2022","12:40","01.06.2022","14:10","01.06.2022 16:58","01.06.2022 16:59",95,"01.06.2022 16:59",5,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
30664,"B6TYGL7MDW",0,54,77.78,"Teilnahme-Gruppe-2",7,"Interaktion mit Externen","",0,0,6,"beziehungspflege","","01.06.2022","16:07","01.06.2022","17:53","01.06.2022 18:15","01.06.2022 18:23",444,"01.06.2022 18:23",4,NA,"sonstiges","sonstiges","other","other",1
30776,"XXTN812TKP",0,41,56,"",21,"Zusatzfunktionen","",0,0,4,"beratungserfolg","","01.06.2022","09:00","01.06.2022","11:00","01.06.2022 22:38","01.06.2022 22:40",100,"01.06.2022 22:46",1,NA,"sonstiges","sonstiges","other","other",1
36212,"HE8UMUSBPK",0,54,100,"",19,"Prüfungsbezogene Tätigkeiten","",0,0,1,"fachwissen","IHK-Prüfung ","30.06.2022","07:45","30.06.2022","16:15","01.07.2022 08:00","01.07.2022 08:01",82,"01.07.2022 08:02",1,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
36223,"9UT56D37SE",1,51,100,"",28,"Interaktion mit Externen","",1,6,4,"austausch mit kollegen aus anderen schulen, von bildungsträgern und v.a. firmen war sehr interessant und informativ!","","30.06.2022","18:00","30.06.2022","20:00","01.07.2022 08:30","01.07.2022 08:32",117,"01.07.2022 08:32",4,NA,"positive einstellung zur teamarbeit","kompetenz","competence","positive attitude towards teamwork",1
36275,"UPP55XBDF6",0,30,100,"",1,"Unterricht: Eigenen Unterricht halten","",2,2,3,"fachliche weiterbildung","Stress: viele  unterschiedliche Inhalte ","01.07.2022","09:30","01.07.2022","15:45","01.07.2022 12:06","01.07.2022 13:31",5091,"01.07.2022 13:34",4,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
36263,"2YY7F3A2A1",1,60,100,"Teilnahme-Gruppe-1",19,"Prüfungsbezogene Tätigkeiten","",3,5,3,"prüfungsfragen richtig stellen","Nein ","01.07.2022","07:45","01.07.2022","11:40","01.07.2022 12:14","01.07.2022 12:16",78,"01.07.2022 12:16",3,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
36277,"UPP55XBDF6",0,30,100,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",2,6,3,"neue inhalte","Zeitstress, keine passenden Schulbücher für Ausbildungsberuf, aufwendigeres Erstellen der Materialien ","01.07.2022","17:00","01.07.2022","20:30","01.07.2022 13:32","01.07.2022 13:34",115,"01.07.2022 13:34",6,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
36318,"SP2UYT6YZU",0,47,64,"Teilnahme-Gruppe-1",13,"Fortbildung: non-Formal","",1,1,7,"neue aufgabenformate abitur 2024","","01.07.2022","09:40","01.07.2022","11:00","01.07.2022 16:40","01.07.2022 16:42",71,"01.07.2022 16:42",4,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
41898,"HE8UMUSBPK",0,54,100,"",12,"Fortbildung: formal","",0,0,7,"hintergrundwissen, aktuelles aus der wirtschaft","","01.08.2022","10:00","01.08.2022","18:00","01.08.2022 18:29","01.08.2022 18:31",104,"01.08.2022 18:31",6,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
46181,"1BGXRNDR9F",1,54,98,"Teilnahme-Gruppe-4",19,"Prüfungsbezogene Tätigkeiten","",5,4,5,"in der ruhe liegt die kraft","","30.09.2022","17:23","30.09.2022","19:01","01.10.2022 08:22","01.10.2022 08:24",90,"01.10.2022 08:24",1,NA,"bewusstsein der bedeutung von gelassenheit","kompetenz","competence","awareness of the importance of serenity",1
46211,"RSVWM1V2VD",1,51,100,"",28,"Interaktion mit Externen","",7,0,4,"software/support, fehlerbehebung untis-stundenplanung","Unfähigkeit des Stellvertretenden Schulleiters","27.10.2022","07:30","26.10.2022","14:00","01.10.2022 12:23","01.10.2022 12:26",146,"01.10.2022 12:28",9,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
46212,"RSVWM1V2VD",1,51,100,"",17,"IT-Administration","",7,0,7,"konfiguration untis","Unfähigkeit des Stellvertretenden Schulleiters","27.10.2022","15:00","27.10.2022","19:45","01.10.2022 12:26","01.10.2022 12:28",135,"01.10.2022 12:28",10,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
12243,"431KBW8FQD",0,29,100,"Teilnahme-Gruppe-3",6,"Interaktion mit Kollegen:innen","",2,1,3,"umgang mit der referendarin","","01.04.2022","09:30","01.04.2022","09:45","02.04.2022 09:12","02.04.2022 09:13",49,"02.04.2022 09:14",7,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12245,"431KBW8FQD",0,29,100,"Teilnahme-Gruppe-3",1,"Unterricht: Eigenen Unterricht halten","",7,2,1,"umgang mit schülern die einen nervenzusammenbruch haben","Fehlende Ausbildung für diese Situationen","01.04.2022","11:30","01.04.2022","12:20","02.04.2022 09:14","02.04.2022 09:15",76,"02.04.2022 09:15",9,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12292,"CRRY6A16PY",0,55,100,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",1,6,2,"coronabedingte strechungen reichen nicht aus, um ausgefallene umterrichtszeit zu kompensieren","Wie kann die verbliebene Zeit effektiv für die verbliebenen Lehrplaninhalte genutzt werden; zusätzlich wird Zeit für gemeinsame Wiederholung von den Schüern gefordert","02.04.2022","12:15","02.04.2022","14:15","02.04.2022 12:40","02.04.2022 14:24",6230,"02.04.2022 14:24",7,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12375,"2DN9DW7FW5",1,45,78,"Teilnahme-Gruppe-3",1,"Unterricht: Eigenen Unterricht halten","",6,7,3,"vorbereieter unterricht klappt","","29.03.2022","08:00","29.03.2022","09:30","02.04.2022 13:49","02.04.2022 13:51",104,"02.04.2022 21:17",6,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12295,"GE7QV1V1UV",0,37,96,"Teilnahme-Gruppe-3",19,"Prüfungsbezogene Tätigkeiten","",4,3,4,"schneller unterrichten, zeit knapp","Viel geredet, schnell Stoff durchbringen","02.04.2022","08:00","02.04.2022","12:15","02.04.2022 14:54","02.04.2022 14:55",117,"02.04.2022 14:55",7,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12351,"CRRY6A16PY",0,55,100,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",1,6,2,"diese klasse hat eventuell augrund der coronabedingt fehlenden grundlagen schlechtere ergebniss als die klassen aus den vorjahren","Korrektur einer Klassenarbeit mit vergleichsweise schlechtem Durchschnitt (Klasse hatte letztes Jahr andere Leher in diesem Fach)","02.04.2022","15:25","02.04.2022","19:20","02.04.2022 16:00","02.04.2022 19:21",12022,"02.04.2022 19:21",8,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
12354,"S1VC8VP43V",0,47,48,"Teilnahme-Gruppe-3",11,"Wiederkehrende Dienstwege","",5,4,2,"details zur organisation einer parisfahrt","keine Pause gehabt","01.04.2022","08:00","01.04.2022","17:30","02.04.2022 19:35","02.04.2022 19:38",152,"02.04.2022 19:38",1,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
21175,"LE93VMFZRK",0,33,100,"",1,"Unterricht: Eigenen Unterricht halten","",2,5,5,"spielerische übungen machen spaß und regen zum nachdenken und reflektieren an","","02.05.2022","12:05","02.05.2022","12:50","02.05.2022 11:49","02.05.2022 22:43",39261,"02.05.2022 22:53",9,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
20875,"5MYT48WULY",0,40,40,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",2,0,1,"schüler machen fortschritte!","","02.05.2022","10:00","02.05.2022","13:15","02.05.2022 13:15","02.05.2022 13:16",77,"02.05.2022 13:16",1,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
20897,"LVZKXTLC5D",1,52,100,"Teilnahme-Gruppe-3",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",1,7,2,"einarbeitung in unterrichtete software","","02.05.2022","10:30","02.05.2022","11:15","02.05.2022 13:36","02.05.2022 13:38",106,"02.05.2022 13:38",13,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
20933,"KYBU7M19DN",1,59,100,"Teilnahme-Gruppe-3",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",0,0,5,"eigene erinnerung an bekannte inhalte","","02.05.2022","08:30","02.05.2022","09:30","02.05.2022 14:38","02.05.2022 14:41",201,"02.05.2022 14:41",12,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
20966,"LFUXY2CS6Z",0,54,80,"Teilnahme-Gruppe-3",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",0,0,2,"inhaltlich - die lebensqualität erhöht sich, wenn man in der freizeit gut vom beruf abschalten kann - was mir nur sporadisch gelingt.","","02.05.2022","06:15","02.05.2022","08:00","02.05.2022 15:50","02.05.2022 15:52",115,"02.05.2022 15:52",7,NA,"fähigkeit zur selbstreflexion","kompetenz","competence","ability to self-reflect",1
21079,"CRRY6A16PY",0,55,100,"",1,"Unterricht: Eigenen Unterricht halten","",2,6,3,"schüler der klasse haben fast keine erfahrung bezüglich kriterien einer guten projektarbeit","Vorwissen kaum vorhanden ( hatte ich aber vorausgesetzt)","02.05.2022","13:00","02.05.2022","14:30","02.05.2022 18:38","02.05.2022 18:39",113,"02.05.2022 18:40",16,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
21080,"CRRY6A16PY",0,55,100,"",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",0,0,2,"ablagesystem üfa muss noch genauer kontrolliert werden","Posteingang für kommenden Unterricht gesichtet. Manche Vorgänge waren nicht am erwarteten Platz ","02.05.2022","14:30","02.05.2022","15:00","02.05.2022 18:40","02.05.2022 18:42",115,"02.05.2022 18:42",17,NA,"bewusstsein der bedeutung von gewissenhaftem, sorgfältigen arbeiten","kompetenz","competence","awareness of the importance of conscientious, careful work",1
